Council area,Year,ICD codes,Cause,Cause label,Number,Percent,Sex,Total deaths
Renfrewshire,2021,J40-J47,Chronic lower respiratory diseases,Chronic lower respiratory diseases,54,4.8,Females,1128
Renfrewshire,2021,"F01, F03, G30",Dementia and Alzheimer's Disease,Dementia and Alzheimer's,75,6.8,Males,1104
Renfrewshire,2021,"F01, F03, G30",Dementia and Alzheimer's Disease,Dementia and Alzheimer's,140,12.4,Females,1128
Renfrewshire,2021,I20-I25,Ischaemic heart diseases,Ischaemic heart diseases,150,13.6,Males,1104
Renfrewshire,2021,I20-I25,Ischaemic heart diseases,Ischaemic heart diseases,77,6.8,Females,1128
Renfrewshire,2021,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Lung cancer,53,4.8,Males,1104
Renfrewshire,2021,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Lung cancer,68,6,Females,1128
Scottish Borders,2021,I60-I69,Cerebrovascular disease,Cerebrovascular disease,36,5,Males,715
Scottish Borders,2021,I60-I69,Cerebrovascular disease,Cerebrovascular disease,55,7.5,Females,733
Scottish Borders,2021,J40-J47,Chronic lower respiratory diseases,Chronic lower respiratory diseases,31,4.2,Females,733
Scottish Borders,2021,"F01, F03, G30",Dementia and Alzheimer's Disease,Dementia and Alzheimer's,42,5.9,Males,715
Scottish Borders,2021,"F01, F03, G30",Dementia and Alzheimer's Disease,Dementia and Alzheimer's,64,8.7,Females,733
Scottish Borders,2021,I20-I25,Ischaemic heart diseases,Ischaemic heart diseases,114,15.9,Males,715
Scottish Borders,2021,I20-I25,Ischaemic heart diseases,Ischaemic heart diseases,69,9.4,Females,733
Scottish Borders,2021,C61,Malignant neoplasm of prostate,Prostate cancer,38,5.3,Males,715
Scottish Borders,2021,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Lung cancer,35,4.9,Males,715
Scottish Borders,2021,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Lung cancer,46,6.3,Females,733
Shetland Islands,2021,"F01, F03, G30",Dementia and Alzheimer's Disease,Dementia and Alzheimer's,18,12.2,Males,148
Shetland Islands,2021,"F01, F03, G30",Dementia and Alzheimer's Disease,Dementia and Alzheimer's,17,15.6,Females,109
Shetland Islands,2021,I20-I25,Ischaemic heart diseases,Ischaemic heart diseases,15,10.1,Males,148
Shetland Islands,2021,I20-I25,Ischaemic heart diseases,Ischaemic heart diseases,12,11,Females,109
Shetland Islands,2021,C50,Malignant neoplasm of breast,Breast cancer,5,4.6,Females,109
Shetland Islands,2021,C18-C21,"Malignant neoplasm of colon, sigmoid, rectum and anus",Colorectal cancer,8,5.4,Males,148
Shetland Islands,2021,C18-C21,"Malignant neoplasm of colon, sigmoid, rectum and anus",Colorectal cancer,5,4.6,Females,109
Shetland Islands,2021,C61,Malignant neoplasm of prostate,Prostate cancer,9,6.1,Males,148
Shetland Islands,2021,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Lung cancer,12,8.1,Males,148
Shetland Islands,2021,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Lung cancer,4,3.7,Females,109
South Ayrshire,2021,I60-I69,Cerebrovascular disease,Cerebrovascular disease,49,6,Males,815
South Ayrshire,2021,I60-I69,Cerebrovascular disease,Cerebrovascular disease,67,8.1,Females,829
South Ayrshire,2021,J40-J47,Chronic lower respiratory diseases,Chronic lower respiratory diseases,39,4.7,Females,829
South Ayrshire,2021,"F01, F03, G30",Dementia and Alzheimer's Disease,Dementia and Alzheimer's,49,6,Males,815
South Ayrshire,2021,"F01, F03, G30",Dementia and Alzheimer's Disease,Dementia and Alzheimer's,107,12.9,Females,829
South Ayrshire,2021,I20-I25,Ischaemic heart diseases,Ischaemic heart diseases,139,17.1,Males,815
South Ayrshire,2021,I20-I25,Ischaemic heart diseases,Ischaemic heart diseases,68,8.2,Females,829
South Ayrshire,2021,C61,Malignant neoplasm of prostate,Prostate cancer,31,3.8,Males,815
South Ayrshire,2021,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Lung cancer,49,6,Males,815
South Ayrshire,2021,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Lung cancer,47,5.7,Females,829
South Lanarkshire,2021,I60-I69,Cerebrovascular disease,Cerebrovascular disease,107,5.5,Males,1950
South Lanarkshire,2021,I60-I69,Cerebrovascular disease,Cerebrovascular disease,132,6.6,Females,1992
South Lanarkshire,2021,J40-J47,Chronic lower respiratory diseases,Chronic lower respiratory diseases,76,3.9,Males,1950
South Lanarkshire,2021,J40-J47,Chronic lower respiratory diseases,Chronic lower respiratory diseases,99,5,Females,1992
South Lanarkshire,2021,"F01, F03, G30",Dementia and Alzheimer's Disease,Dementia and Alzheimer's,106,5.4,Males,1950
South Lanarkshire,2021,"F01, F03, G30",Dementia and Alzheimer's Disease,Dementia and Alzheimer's,261,13.1,Females,1992
South Lanarkshire,2021,I20-I25,Ischaemic heart diseases,Ischaemic heart diseases,256,13.1,Males,1950
South Lanarkshire,2021,I20-I25,Ischaemic heart diseases,Ischaemic heart diseases,144,7.2,Females,1992
South Lanarkshire,2021,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Lung cancer,119,6.1,Males,1950
South Lanarkshire,2021,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Lung cancer,118,5.9,Females,1992
Stirling,2021,I60-I69,Cerebrovascular disease,Cerebrovascular disease,23,4.3,Males,529
Stirling,2021,I60-I69,Cerebrovascular disease,Cerebrovascular disease,30,5.9,Females,507
Stirling,2021,J40-J47,Chronic lower respiratory diseases,Chronic lower respiratory diseases,27,5.3,Females,507
Stirling,2021,"F01, F03, G30",Dementia and Alzheimer's Disease,Dementia and Alzheimer's,37,7,Males,529
Stirling,2021,"F01, F03, G30",Dementia and Alzheimer's Disease,Dementia and Alzheimer's,79,15.6,Females,507
Stirling,2021,I20-I25,Ischaemic heart diseases,Ischaemic heart diseases,78,14.7,Males,529
Stirling,2021,I20-I25,Ischaemic heart diseases,Ischaemic heart diseases,40,7.9,Females,507
Stirling,2021,C18-C21,"Malignant neoplasm of colon, sigmoid, rectum and anus",Colorectal cancer,25,4.7,Males,529
Stirling,2021,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Lung cancer,35,6.6,Males,529
Stirling,2021,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Lung cancer,23,4.5,Females,507
West Dunbartonshire,2021,I60-I69,Cerebrovascular disease,Cerebrovascular disease,25,4.1,Males,608
West Dunbartonshire,2021,I60-I69,Cerebrovascular disease,Cerebrovascular disease,40,6.3,Females,630
West Dunbartonshire,2021,J40-J47,Chronic lower respiratory diseases,Chronic lower respiratory diseases,29,4.8,Males,608
West Dunbartonshire,2021,J40-J47,Chronic lower respiratory diseases,Chronic lower respiratory diseases,33,5.2,Females,630
West Dunbartonshire,2021,"F01, F03, G30",Dementia and Alzheimer's Disease,Dementia and Alzheimer's,23,3.8,Males,608
West Dunbartonshire,2021,"F01, F03, G30",Dementia and Alzheimer's Disease,Dementia and Alzheimer's,72,11.4,Females,630
West Dunbartonshire,2021,I20-I25,Ischaemic heart diseases,Ischaemic heart diseases,90,14.8,Males,608
West Dunbartonshire,2021,I20-I25,Ischaemic heart diseases,Ischaemic heart diseases,57,9,Females,630
West Dunbartonshire,2021,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Lung cancer,42,6.9,Males,608
West Dunbartonshire,2021,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Lung cancer,43,6.8,Females,630
West Lothian,2021,I60-I69,Cerebrovascular disease,Cerebrovascular disease,46,4.9,Males,942
West Lothian,2021,I60-I69,Cerebrovascular disease,Cerebrovascular disease,40,4.6,Females,865
West Lothian,2021,J40-J47,Chronic lower respiratory diseases,Chronic lower respiratory diseases,40,4.2,Males,942
West Lothian,2021,J40-J47,Chronic lower respiratory diseases,Chronic lower respiratory diseases,55,6.4,Females,865
West Lothian,2021,"F01, F03, G30",Dementia and Alzheimer's Disease,Dementia and Alzheimer's,53,5.6,Males,942
West Lothian,2021,"F01, F03, G30",Dementia and Alzheimer's Disease,Dementia and Alzheimer's,93,10.8,Females,865
West Lothian,2021,I20-I25,Ischaemic heart diseases,Ischaemic heart diseases,137,14.5,Males,942
West Lothian,2021,I20-I25,Ischaemic heart diseases,Ischaemic heart diseases,92,10.6,Females,865
West Lothian,2021,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Lung cancer,55,5.8,Males,942
West Lothian,2021,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Lung cancer,49,5.7,Females,865
